producto;color;msg
261-DCAROLE;MARINE/OFF WHITE;INICIO EVALUACIÓN
261-DCAROLE;MARINE/OFF WHITE;Producto estancado
261-DIDONA;OFF WHITE M;INICIO EVALUACIÓN
261-DIDONA;OFF WHITE M;20 pares generados
261-DIDONA;OFF WHITE M;8.0 productes de 840 a 832
261-DIDONA;OFF WHITE M;Emisor 840 acceptat
261-DIDONA;OFF WHITE M;Cobertura máxima assolida per receptor 832
261-DIDONA;OFF WHITE M;0.0 productes de 840 a 869
261-DIDONA;OFF WHITE M;4.0 productes de 2020 a 869
261-DIDONA;OFF WHITE M;Emisor 2020 acceptat
261-DIDONA;OFF WHITE M;0.0 productes de 840 a 806
261-DIDONA;OFF WHITE M;0.0 productes de 2020 a 806
261-DIDONA;OFF WHITE M;Receptor 806 sin posibilidad de enviarle stock
261-DIDONA;OFF WHITE M;0.0 productes de 840 a 801
261-DIDONA;OFF WHITE M;0.0 productes de 2020 a 801
261-DIDONA;OFF WHITE M;Receptor 801 sin posibilidad de enviarle stock
261-DIDONA;OFF WHITE M;0.0 productes de 840 a 803
261-DIDONA;OFF WHITE M;0.0 productes de 2020 a 803
261-DIDONA;OFF WHITE M;Receptor 803 sin posibilidad de enviarle stock
261-DIDONA;OFF WHITE M;0.0 productes de 840 a 845
261-DIDONA;OFF WHITE M;0.0 productes de 2020 a 845
261-DIDONA;OFF WHITE M;Receptor 845 sin posibilidad de enviarle stock
261-DIDONA;OFF WHITE M;0.0 productes de 840 a 2094
261-DIDONA;OFF WHITE M;0.0 productes de 2020 a 2094
261-DIDONA;OFF WHITE M;Receptor 2094 sin posibilidad de enviarle stock
261-DIDONA;OFF WHITE M;0.0 productes de 840 a 857
261-DIDONA;OFF WHITE M;0.0 productes de 2020 a 857
261-DIDONA;OFF WHITE M;Receptor 857 sin posibilidad de enviarle stock
261-DIDONA;OFF WHITE M;0.0 productes de 840 a 805
261-DIDONA;OFF WHITE M;0.0 productes de 2020 a 805
261-DIDONA;OFF WHITE M;Receptor 805 sin posibilidad de enviarle stock
261-DIDONA;OFF WHITE M;0.0 productes de 840 a 1782
261-DIDONA;OFF WHITE M;0.0 productes de 2020 a 1782
261-DIDONA;OFF WHITE M;Receptor 1782 sin posibilidad de enviarle stock
252-DFLOWER;OFF WHITE M;INICIO EVALUACIÓN
252-DFLOWER;OFF WHITE M;Producto estancado
261-DANIELA;MAGMA M;INICIO EVALUACIÓN
261-DANIELA;MAGMA M;Producto estancado
261-DYLAN;OFF WHITE M;INICIO EVALUACIÓN
261-DYLAN;OFF WHITE M;Producto estancado
261-DAVINA;OFF WHITE/MARINE;INICIO EVALUACIÓN
261-DAVINA;OFF WHITE/MARINE;6 pares generados
261-DAVINA;OFF WHITE/MARINE;5.0 productes de 840 a 801
261-DAVINA;OFF WHITE/MARINE;Emisor 840 acceptat
261-DAVINA;OFF WHITE/MARINE;0.0 productes de 840 a 857
261-DAVINA;OFF WHITE/MARINE;Receptor 857 sin posibilidad de enviarle stock
261-DAVINA;OFF WHITE/MARINE;0.0 productes de 840 a 806
261-DAVINA;OFF WHITE/MARINE;Receptor 806 sin posibilidad de enviarle stock
261-DAVINA;OFF WHITE/MARINE;0.0 productes de 840 a 832
261-DAVINA;OFF WHITE/MARINE;Receptor 832 sin posibilidad de enviarle stock
261-DAVINA;OFF WHITE/MARINE;0.0 productes de 840 a 803
261-DAVINA;OFF WHITE/MARINE;Receptor 803 sin posibilidad de enviarle stock
261-DAVINA;OFF WHITE/MARINE;0.0 productes de 840 a 869
261-DAVINA;OFF WHITE/MARINE;Receptor 869 sin posibilidad de enviarle stock
261-DANIELA;OFF WHITE M;INICIO EVALUACIÓN
261-DANIELA;OFF WHITE M;Producto estancado
251-MOLOVIC;IVOIRE M;INICIO EVALUACIÓN
251-MOLOVIC;IVOIRE M;20 pares generados
251-MOLOVIC;IVOIRE M;4.0 productes de 1782 a 801
251-MOLOVIC;IVOIRE M;Emisor 1782 acceptat
251-MOLOVIC;IVOIRE M;4.0 productes de 2020 a 801
251-MOLOVIC;IVOIRE M;Emisor 2020 acceptat
251-MOLOVIC;IVOIRE M;0.0 productes de 1782 a 832
251-MOLOVIC;IVOIRE M;0.0 productes de 2020 a 832
251-MOLOVIC;IVOIRE M;Receptor 832 sin posibilidad de enviarle stock
251-MOLOVIC;IVOIRE M;0.0 productes de 1782 a 805
251-MOLOVIC;IVOIRE M;0.0 productes de 2020 a 805
251-MOLOVIC;IVOIRE M;Receptor 805 sin posibilidad de enviarle stock
251-MOLOVIC;IVOIRE M;0.0 productes de 1782 a 803
251-MOLOVIC;IVOIRE M;0.0 productes de 2020 a 803
251-MOLOVIC;IVOIRE M;Receptor 803 sin posibilidad de enviarle stock
251-MOLOVIC;IVOIRE M;0.0 productes de 1782 a 840
251-MOLOVIC;IVOIRE M;0.0 productes de 2020 a 840
251-MOLOVIC;IVOIRE M;Receptor 840 sin posibilidad de enviarle stock
251-MOLOVIC;IVOIRE M;0.0 productes de 1782 a 806
251-MOLOVIC;IVOIRE M;0.0 productes de 2020 a 806
251-MOLOVIC;IVOIRE M;Receptor 806 sin posibilidad de enviarle stock
251-MOLOVIC;IVOIRE M;0.0 productes de 1782 a 869
251-MOLOVIC;IVOIRE M;0.0 productes de 2020 a 869
251-MOLOVIC;IVOIRE M;Receptor 869 sin posibilidad de enviarle stock
251-MOLOVIC;IVOIRE M;0.0 productes de 2020 a 857
251-MOLOVIC;IVOIRE M;0.0 productes de 1782 a 857
251-MOLOVIC;IVOIRE M;Receptor 857 sin posibilidad de enviarle stock
251-MOLOVIC;IVOIRE M;0.0 productes de 1782 a 845
251-MOLOVIC;IVOIRE M;0.0 productes de 2020 a 845
251-MOLOVIC;IVOIRE M;Receptor 845 sin posibilidad de enviarle stock
251-MOLOVIC;IVOIRE M;0.0 productes de 1782 a 2094
251-MOLOVIC;IVOIRE M;0.0 productes de 2020 a 2094
251-MOLOVIC;IVOIRE M;Receptor 2094 sin posibilidad de enviarle stock
261-DSAMIR;PRAIRIE M;INICIO EVALUACIÓN
261-DSAMIR;PRAIRIE M;Producto estancado
261-DIYUKI;IVOIRE/NOIR;INICIO EVALUACIÓN
261-DIYUKI;IVOIRE/NOIR;27 pares generados
261-DIYUKI;IVOIRE/NOIR;7.0 productes de 801 a 803
261-DIYUKI;IVOIRE/NOIR;Emisor 801 acceptat
261-DIYUKI;IVOIRE/NOIR;6.0 productes de 840 a 803
261-DIYUKI;IVOIRE/NOIR;Emisor 840 acceptat
261-DIYUKI;IVOIRE/NOIR;4.0 productes de 845 a 803
261-DIYUKI;IVOIRE/NOIR;Emisor 845 rebutjat. Supera cantitat d'unitats màximes
261-DIYUKI;IVOIRE/NOIR;0.0 productes de 801 a 2094
261-DIYUKI;IVOIRE/NOIR;0.0 productes de 840 a 2094
261-DIYUKI;IVOIRE/NOIR;4.0 productes de 845 a 2094
261-DIYUKI;IVOIRE/NOIR;Emisor 845 acceptat
261-DIYUKI;IVOIRE/NOIR;0.0 productes de 801 a 832
261-DIYUKI;IVOIRE/NOIR;0.0 productes de 840 a 832
261-DIYUKI;IVOIRE/NOIR;0.0 productes de 845 a 832
261-DIYUKI;IVOIRE/NOIR;Receptor 832 sin posibilidad de enviarle stock
261-DIYUKI;IVOIRE/NOIR;0.0 productes de 801 a 1782
261-DIYUKI;IVOIRE/NOIR;0.0 productes de 840 a 1782
261-DIYUKI;IVOIRE/NOIR;0.0 productes de 845 a 1782
261-DIYUKI;IVOIRE/NOIR;Receptor 1782 sin posibilidad de enviarle stock
261-DIYUKI;IVOIRE/NOIR;0.0 productes de 801 a 805
261-DIYUKI;IVOIRE/NOIR;0.0 productes de 840 a 805
261-DIYUKI;IVOIRE/NOIR;0.0 productes de 845 a 805
261-DIYUKI;IVOIRE/NOIR;Receptor 805 sin posibilidad de enviarle stock
261-DIYUKI;IVOIRE/NOIR;0.0 productes de 801 a 869
261-DIYUKI;IVOIRE/NOIR;0.0 productes de 840 a 869
261-DIYUKI;IVOIRE/NOIR;0.0 productes de 845 a 869
261-DIYUKI;IVOIRE/NOIR;Receptor 869 sin posibilidad de enviarle stock
261-DIYUKI;IVOIRE/NOIR;0.0 productes de 801 a 806
261-DIYUKI;IVOIRE/NOIR;0.0 productes de 840 a 806
261-DIYUKI;IVOIRE/NOIR;0.0 productes de 845 a 806
261-DIYUKI;IVOIRE/NOIR;Receptor 806 sin posibilidad de enviarle stock
261-DIYUKI;IVOIRE/NOIR;0.0 productes de 801 a 857
261-DIYUKI;IVOIRE/NOIR;0.0 productes de 840 a 857
261-DIYUKI;IVOIRE/NOIR;0.0 productes de 845 a 857
261-DIYUKI;IVOIRE/NOIR;Receptor 857 sin posibilidad de enviarle stock
261-DIYUKI;IVOIRE/NOIR;0.0 productes de 801 a 2020
261-DIYUKI;IVOIRE/NOIR;0.0 productes de 840 a 2020
261-DIYUKI;IVOIRE/NOIR;0.0 productes de 845 a 2020
261-DIYUKI;IVOIRE/NOIR;Receptor 2020 sin posibilidad de enviarle stock
222-RAMAGE;EPICE M;INICIO EVALUACIÓN
222-RAMAGE;EPICE M;Producto estancado
251-DSARAH;IVOIRE M;INICIO EVALUACIÓN
251-DSARAH;IVOIRE M;11 pares generados
251-DSARAH;IVOIRE M;1.0 productes de 1782 a 857
251-DSARAH;IVOIRE M;Emisor 1782 acceptat
251-DSARAH;IVOIRE M;0.0 productes de 1782 a 803
251-DSARAH;IVOIRE M;Receptor 803 sin posibilidad de enviarle stock
251-DSARAH;IVOIRE M;0.0 productes de 1782 a 806
251-DSARAH;IVOIRE M;Receptor 806 sin posibilidad de enviarle stock
251-DSARAH;IVOIRE M;0.0 productes de 1782 a 869
251-DSARAH;IVOIRE M;Receptor 869 sin posibilidad de enviarle stock
251-DSARAH;IVOIRE M;0.0 productes de 1782 a 832
251-DSARAH;IVOIRE M;Receptor 832 sin posibilidad de enviarle stock
251-DSARAH;IVOIRE M;0.0 productes de 1782 a 801
251-DSARAH;IVOIRE M;Receptor 801 sin posibilidad de enviarle stock
251-DSARAH;IVOIRE M;0.0 productes de 1782 a 2094
251-DSARAH;IVOIRE M;Receptor 2094 sin posibilidad de enviarle stock
251-DSARAH;IVOIRE M;0.0 productes de 1782 a 2020
251-DSARAH;IVOIRE M;Receptor 2020 sin posibilidad de enviarle stock
251-DSARAH;IVOIRE M;0.0 productes de 1782 a 840
251-DSARAH;IVOIRE M;Receptor 840 sin posibilidad de enviarle stock
251-DSARAH;IVOIRE M;0.0 productes de 1782 a 805
251-DSARAH;IVOIRE M;Receptor 805 sin posibilidad de enviarle stock
251-DSARAH;IVOIRE M;0.0 productes de 1782 a 845
251-DSARAH;IVOIRE M;Receptor 845 sin posibilidad de enviarle stock
261-DANIELA;NOIR M;INICIO EVALUACIÓN
261-DANIELA;NOIR M;Producto estancado
261-MPIKA;ROSEE M;INICIO EVALUACIÓN
261-MPIKA;ROSEE M;27 pares generados
261-MPIKA;ROSEE M;6.0 productes de 840 a 803
261-MPIKA;ROSEE M;Emisor 840 acceptat
261-MPIKA;ROSEE M;Cobertura máxima assolida per receptor 803
261-MPIKA;ROSEE M;0.0 productes de 840 a 801
261-MPIKA;ROSEE M;4.0 productes de 2020 a 801
261-MPIKA;ROSEE M;Emisor 2020 acceptat
261-MPIKA;ROSEE M;3.0 productes de 1782 a 801
261-MPIKA;ROSEE M;Emisor 1782 rebutjat. Supera cobertura máxima
261-MPIKA;ROSEE M;0.0 productes de 840 a 832
261-MPIKA;ROSEE M;0.0 productes de 2020 a 832
261-MPIKA;ROSEE M;3.0 productes de 1782 a 832
261-MPIKA;ROSEE M;Emisor 1782 acceptat
261-MPIKA;ROSEE M;0.0 productes de 840 a 869
261-MPIKA;ROSEE M;0.0 productes de 2020 a 869
261-MPIKA;ROSEE M;0.0 productes de 1782 a 869
261-MPIKA;ROSEE M;Receptor 869 sin posibilidad de enviarle stock
261-MPIKA;ROSEE M;0.0 productes de 840 a 805
261-MPIKA;ROSEE M;0.0 productes de 2020 a 805
261-MPIKA;ROSEE M;0.0 productes de 1782 a 805
261-MPIKA;ROSEE M;Receptor 805 sin posibilidad de enviarle stock
261-MPIKA;ROSEE M;0.0 productes de 840 a 806
261-MPIKA;ROSEE M;0.0 productes de 2020 a 806
261-MPIKA;ROSEE M;0.0 productes de 1782 a 806
261-MPIKA;ROSEE M;Receptor 806 sin posibilidad de enviarle stock
261-MPIKA;ROSEE M;0.0 productes de 840 a 857
261-MPIKA;ROSEE M;0.0 productes de 2020 a 857
261-MPIKA;ROSEE M;0.0 productes de 1782 a 857
261-MPIKA;ROSEE M;Receptor 857 sin posibilidad de enviarle stock
261-MPIKA;ROSEE M;0.0 productes de 840 a 2094
261-MPIKA;ROSEE M;0.0 productes de 2020 a 2094
261-MPIKA;ROSEE M;0.0 productes de 1782 a 2094
261-MPIKA;ROSEE M;Receptor 2094 sin posibilidad de enviarle stock
261-MPIKA;ROSEE M;0.0 productes de 840 a 845
261-MPIKA;ROSEE M;0.0 productes de 2020 a 845
261-MPIKA;ROSEE M;0.0 productes de 1782 a 845
261-MPIKA;ROSEE M;Receptor 845 sin posibilidad de enviarle stock
261-DSAMIR;MYRTILLE M;INICIO EVALUACIÓN
261-DSAMIR;MYRTILLE M;11 pares generados
261-DSAMIR;MYRTILLE M;3.0 productes de 2020 a 801
261-DSAMIR;MYRTILLE M;Emisor 2020 acceptat
261-DSAMIR;MYRTILLE M;0.0 productes de 2020 a 832
261-DSAMIR;MYRTILLE M;Receptor 832 sin posibilidad de enviarle stock
261-DSAMIR;MYRTILLE M;0.0 productes de 2020 a 803
261-DSAMIR;MYRTILLE M;Receptor 803 sin posibilidad de enviarle stock
261-DSAMIR;MYRTILLE M;0.0 productes de 2020 a 805
261-DSAMIR;MYRTILLE M;Receptor 805 sin posibilidad de enviarle stock
261-DSAMIR;MYRTILLE M;0.0 productes de 2020 a 857
261-DSAMIR;MYRTILLE M;Receptor 857 sin posibilidad de enviarle stock
261-DSAMIR;MYRTILLE M;0.0 productes de 2020 a 1782
261-DSAMIR;MYRTILLE M;Receptor 1782 sin posibilidad de enviarle stock
261-DSAMIR;MYRTILLE M;0.0 productes de 2020 a 2094
261-DSAMIR;MYRTILLE M;Receptor 2094 sin posibilidad de enviarle stock
261-DSAMIR;MYRTILLE M;0.0 productes de 2020 a 806
261-DSAMIR;MYRTILLE M;Receptor 806 sin posibilidad de enviarle stock
261-DSAMIR;MYRTILLE M;0.0 productes de 2020 a 840
261-DSAMIR;MYRTILLE M;Receptor 840 sin posibilidad de enviarle stock
261-DSAMIR;MYRTILLE M;0.0 productes de 2020 a 869
261-DSAMIR;MYRTILLE M;Receptor 869 sin posibilidad de enviarle stock
261-DSAMIR;MYRTILLE M;0.0 productes de 2020 a 845
261-DSAMIR;MYRTILLE M;Receptor 845 sin posibilidad de enviarle stock
242-BINGO;ECRU;INICIO EVALUACIÓN
242-BINGO;ECRU;18 pares generados
242-BINGO;ECRU;5.0 productes de 869 a 801
242-BINGO;ECRU;Emisor 869 acceptat
242-BINGO;ECRU;1.0 productes de 2094 a 801
242-BINGO;ECRU;Emisor 2094 acceptat
242-BINGO;ECRU;0.0 productes de 869 a 803
242-BINGO;ECRU;0.0 productes de 2094 a 803
242-BINGO;ECRU;Receptor 803 sin posibilidad de enviarle stock
242-BINGO;ECRU;0.0 productes de 869 a 805
242-BINGO;ECRU;0.0 productes de 2094 a 805
242-BINGO;ECRU;Receptor 805 sin posibilidad de enviarle stock
242-BINGO;ECRU;0.0 productes de 869 a 806
242-BINGO;ECRU;0.0 productes de 2094 a 806
242-BINGO;ECRU;Receptor 806 sin posibilidad de enviarle stock
242-BINGO;ECRU;0.0 productes de 869 a 832
242-BINGO;ECRU;0.0 productes de 2094 a 832
242-BINGO;ECRU;Receptor 832 sin posibilidad de enviarle stock
242-BINGO;ECRU;0.0 productes de 869 a 1782
242-BINGO;ECRU;0.0 productes de 2094 a 1782
242-BINGO;ECRU;Receptor 1782 sin posibilidad de enviarle stock
242-BINGO;ECRU;0.0 productes de 869 a 857
242-BINGO;ECRU;0.0 productes de 2094 a 857
242-BINGO;ECRU;Receptor 857 sin posibilidad de enviarle stock
242-BINGO;ECRU;0.0 productes de 869 a 2020
242-BINGO;ECRU;0.0 productes de 2094 a 2020
242-BINGO;ECRU;Receptor 2020 sin posibilidad de enviarle stock
242-BINGO;ECRU;0.0 productes de 869 a 845
242-BINGO;ECRU;0.0 productes de 2094 a 845
242-BINGO;ECRU;Receptor 845 sin posibilidad de enviarle stock
252-DFLOWER;NOIR M;INICIO EVALUACIÓN
252-DFLOWER;NOIR M;11 pares generados
252-DFLOWER;NOIR M;4.0 productes de 2020 a 801
252-DFLOWER;NOIR M;Emisor 2020 acceptat
252-DFLOWER;NOIR M;0.0 productes de 2020 a 832
252-DFLOWER;NOIR M;Receptor 832 sin posibilidad de enviarle stock
252-DFLOWER;NOIR M;0.0 productes de 2020 a 805
252-DFLOWER;NOIR M;Receptor 805 sin posibilidad de enviarle stock
252-DFLOWER;NOIR M;0.0 productes de 2020 a 2094
252-DFLOWER;NOIR M;Receptor 2094 sin posibilidad de enviarle stock
252-DFLOWER;NOIR M;0.0 productes de 2020 a 803
252-DFLOWER;NOIR M;Receptor 803 sin posibilidad de enviarle stock
252-DFLOWER;NOIR M;0.0 productes de 2020 a 845
252-DFLOWER;NOIR M;Receptor 845 sin posibilidad de enviarle stock
252-DFLOWER;NOIR M;0.0 productes de 2020 a 840
252-DFLOWER;NOIR M;Receptor 840 sin posibilidad de enviarle stock
252-DFLOWER;NOIR M;0.0 productes de 2020 a 857
252-DFLOWER;NOIR M;Receptor 857 sin posibilidad de enviarle stock
252-DFLOWER;NOIR M;0.0 productes de 2020 a 806
252-DFLOWER;NOIR M;Receptor 806 sin posibilidad de enviarle stock
252-DFLOWER;NOIR M;0.0 productes de 2020 a 869
252-DFLOWER;NOIR M;Receptor 869 sin posibilidad de enviarle stock
252-DFLOWER;NOIR M;0.0 productes de 2020 a 1782
252-DFLOWER;NOIR M;Receptor 1782 sin posibilidad de enviarle stock
242-MUSHU;ECRU;INICIO EVALUACIÓN
242-MUSHU;ECRU;24 pares generados
242-MUSHU;ECRU;6.0 productes de 832 a 803
242-MUSHU;ECRU;Emisor 832 acceptat
242-MUSHU;ECRU;5.0 productes de 805 a 803
242-MUSHU;ECRU;Emisor 805 acceptat
242-MUSHU;ECRU;4.0 productes de 857 a 803
242-MUSHU;ECRU;Emisor 857 rebutjat. Supera cobertura máxima
242-MUSHU;ECRU;0.0 productes de 832 a 1782
242-MUSHU;ECRU;0.0 productes de 805 a 1782
242-MUSHU;ECRU;4.0 productes de 857 a 1782
242-MUSHU;ECRU;Emisor 857 acceptat
242-MUSHU;ECRU;0.0 productes de 832 a 869
242-MUSHU;ECRU;0.0 productes de 805 a 869
242-MUSHU;ECRU;0.0 productes de 857 a 869
242-MUSHU;ECRU;Receptor 869 sin posibilidad de enviarle stock
242-MUSHU;ECRU;0.0 productes de 832 a 845
242-MUSHU;ECRU;0.0 productes de 805 a 845
242-MUSHU;ECRU;0.0 productes de 857 a 845
242-MUSHU;ECRU;Receptor 845 sin posibilidad de enviarle stock
242-MUSHU;ECRU;0.0 productes de 832 a 806
242-MUSHU;ECRU;0.0 productes de 805 a 806
242-MUSHU;ECRU;0.0 productes de 857 a 806
242-MUSHU;ECRU;Receptor 806 sin posibilidad de enviarle stock
242-MUSHU;ECRU;0.0 productes de 832 a 840
242-MUSHU;ECRU;0.0 productes de 805 a 840
242-MUSHU;ECRU;0.0 productes de 857 a 840
242-MUSHU;ECRU;Receptor 840 sin posibilidad de enviarle stock
242-MUSHU;ECRU;0.0 productes de 832 a 2020
242-MUSHU;ECRU;0.0 productes de 805 a 2020
242-MUSHU;ECRU;0.0 productes de 857 a 2020
242-MUSHU;ECRU;Receptor 2020 sin posibilidad de enviarle stock
242-MUSHU;ECRU;0.0 productes de 832 a 2094
242-MUSHU;ECRU;0.0 productes de 805 a 2094
242-MUSHU;ECRU;0.0 productes de 857 a 2094
242-MUSHU;ECRU;Receptor 2094 sin posibilidad de enviarle stock
241-MELAN;MYRTILLE M;INICIO EVALUACIÓN
241-MELAN;MYRTILLE M;20 pares generados
241-MELAN;MYRTILLE M;4.0 productes de 2020 a 803
241-MELAN;MYRTILLE M;Emisor 2020 acceptat
241-MELAN;MYRTILLE M;2.0 productes de 845 a 803
241-MELAN;MYRTILLE M;Emisor 845 acceptat
241-MELAN;MYRTILLE M;0.0 productes de 2020 a 832
241-MELAN;MYRTILLE M;0.0 productes de 845 a 832
241-MELAN;MYRTILLE M;Receptor 832 sin posibilidad de enviarle stock
241-MELAN;MYRTILLE M;0.0 productes de 2020 a 869
241-MELAN;MYRTILLE M;0.0 productes de 845 a 869
241-MELAN;MYRTILLE M;Receptor 869 sin posibilidad de enviarle stock
241-MELAN;MYRTILLE M;0.0 productes de 2020 a 2094
241-MELAN;MYRTILLE M;0.0 productes de 845 a 2094
241-MELAN;MYRTILLE M;Receptor 2094 sin posibilidad de enviarle stock
241-MELAN;MYRTILLE M;0.0 productes de 2020 a 1782
241-MELAN;MYRTILLE M;0.0 productes de 845 a 1782
241-MELAN;MYRTILLE M;Receptor 1782 sin posibilidad de enviarle stock
241-MELAN;MYRTILLE M;0.0 productes de 2020 a 801
241-MELAN;MYRTILLE M;0.0 productes de 845 a 801
241-MELAN;MYRTILLE M;Receptor 801 sin posibilidad de enviarle stock
241-MELAN;MYRTILLE M;0.0 productes de 2020 a 840
241-MELAN;MYRTILLE M;0.0 productes de 845 a 840
241-MELAN;MYRTILLE M;Receptor 840 sin posibilidad de enviarle stock
241-MELAN;MYRTILLE M;0.0 productes de 2020 a 805
241-MELAN;MYRTILLE M;0.0 productes de 845 a 805
241-MELAN;MYRTILLE M;Receptor 805 sin posibilidad de enviarle stock
241-MELAN;MYRTILLE M;0.0 productes de 2020 a 806
241-MELAN;MYRTILLE M;0.0 productes de 845 a 806
241-MELAN;MYRTILLE M;Receptor 806 sin posibilidad de enviarle stock
241-MELAN;MYRTILLE M;0.0 productes de 2020 a 857
241-MELAN;MYRTILLE M;0.0 productes de 845 a 857
241-MELAN;MYRTILLE M;Receptor 857 sin posibilidad de enviarle stock
251-DELLA;OFF WHITE M;INICIO EVALUACIÓN
251-DELLA;OFF WHITE M;11 pares generados
251-DELLA;OFF WHITE M;4.0 productes de 2020 a 832
251-DELLA;OFF WHITE M;Emisor 2020 acceptat
251-DELLA;OFF WHITE M;0.0 productes de 2020 a 801
251-DELLA;OFF WHITE M;Receptor 801 sin posibilidad de enviarle stock
251-DELLA;OFF WHITE M;0.0 productes de 2020 a 857
251-DELLA;OFF WHITE M;Receptor 857 sin posibilidad de enviarle stock
251-DELLA;OFF WHITE M;0.0 productes de 2020 a 2094
251-DELLA;OFF WHITE M;Receptor 2094 sin posibilidad de enviarle stock
251-DELLA;OFF WHITE M;0.0 productes de 2020 a 1782
251-DELLA;OFF WHITE M;Receptor 1782 sin posibilidad de enviarle stock
251-DELLA;OFF WHITE M;0.0 productes de 2020 a 840
251-DELLA;OFF WHITE M;Receptor 840 sin posibilidad de enviarle stock
251-DELLA;OFF WHITE M;0.0 productes de 2020 a 845
251-DELLA;OFF WHITE M;Receptor 845 sin posibilidad de enviarle stock
251-DELLA;OFF WHITE M;0.0 productes de 2020 a 806
251-DELLA;OFF WHITE M;Receptor 806 sin posibilidad de enviarle stock
251-DELLA;OFF WHITE M;0.0 productes de 2020 a 803
251-DELLA;OFF WHITE M;Receptor 803 sin posibilidad de enviarle stock
251-DELLA;OFF WHITE M;0.0 productes de 2020 a 805
251-DELLA;OFF WHITE M;Receptor 805 sin posibilidad de enviarle stock
251-DELLA;OFF WHITE M;0.0 productes de 2020 a 869
251-DELLA;OFF WHITE M;Receptor 869 sin posibilidad de enviarle stock
261-DTAL;BUBBLE M;INICIO EVALUACIÓN
261-DTAL;BUBBLE M;11 pares generados
261-DTAL;BUBBLE M;6.0 productes de 2020 a 806
261-DTAL;BUBBLE M;Emisor 2020 acceptat
261-DTAL;BUBBLE M;Cobertura máxima assolida per receptor 806
261-DTAL;BUBBLE M;0.0 productes de 2020 a 801
261-DTAL;BUBBLE M;Receptor 801 sin posibilidad de enviarle stock
261-DTAL;BUBBLE M;0.0 productes de 2020 a 845
261-DTAL;BUBBLE M;Receptor 845 sin posibilidad de enviarle stock
261-DTAL;BUBBLE M;0.0 productes de 2020 a 869
261-DTAL;BUBBLE M;Receptor 869 sin posibilidad de enviarle stock
261-DTAL;BUBBLE M;0.0 productes de 2020 a 857
261-DTAL;BUBBLE M;Receptor 857 sin posibilidad de enviarle stock
261-DTAL;BUBBLE M;0.0 productes de 2020 a 840
261-DTAL;BUBBLE M;Receptor 840 sin posibilidad de enviarle stock
261-DTAL;BUBBLE M;0.0 productes de 2020 a 832
261-DTAL;BUBBLE M;Receptor 832 sin posibilidad de enviarle stock
261-DTAL;BUBBLE M;0.0 productes de 2020 a 2094
261-DTAL;BUBBLE M;Receptor 2094 sin posibilidad de enviarle stock
261-DTAL;BUBBLE M;0.0 productes de 2020 a 803
261-DTAL;BUBBLE M;Receptor 803 sin posibilidad de enviarle stock
261-DTAL;BUBBLE M;0.0 productes de 2020 a 1782
261-DTAL;BUBBLE M;Receptor 1782 sin posibilidad de enviarle stock
261-DTAL;BUBBLE M;0.0 productes de 2020 a 805
261-DTAL;BUBBLE M;Receptor 805 sin posibilidad de enviarle stock
261-DAMA;NAVAL ACADEMY;INICIO EVALUACIÓN
261-DAMA;NAVAL ACADEMY;Producto estancado
261-RBELLE;OFF WHITE M;INICIO EVALUACIÓN
261-RBELLE;OFF WHITE M;Producto estancado
242-POYA.F;WHITE SMOKE;INICIO EVALUACIÓN
242-POYA.F;WHITE SMOKE;35 pares generados
242-POYA.F;WHITE SMOKE;9.0 productes de 801 a 803
242-POYA.F;WHITE SMOKE;Emisor 801 rebutjat. Supera cobertura máxima
242-POYA.F;WHITE SMOKE;5.0 productes de 869 a 803
242-POYA.F;WHITE SMOKE;Emisor 869 rebutjat. Supera cobertura máxima
242-POYA.F;WHITE SMOKE;5.0 productes de 845 a 803
242-POYA.F;WHITE SMOKE;Emisor 845 rebutjat. Supera cobertura máxima
242-POYA.F;WHITE SMOKE;5.0 productes de 857 a 803
242-POYA.F;WHITE SMOKE;Emisor 857 rebutjat. Supera cobertura máxima
242-POYA.F;WHITE SMOKE;5.0 productes de 2020 a 803
242-POYA.F;WHITE SMOKE;Emisor 2020 rebutjat. Supera cobertura máxima
242-POYA.F;WHITE SMOKE;Receptor 803 sin posibilidad de enviarle stock
242-POYA.F;WHITE SMOKE;9.0 productes de 801 a 805
242-POYA.F;WHITE SMOKE;Emisor 801 rebutjat. Supera cobertura máxima
242-POYA.F;WHITE SMOKE;5.0 productes de 845 a 805
242-POYA.F;WHITE SMOKE;Emisor 845 rebutjat. Supera cobertura máxima
242-POYA.F;WHITE SMOKE;5.0 productes de 869 a 805
242-POYA.F;WHITE SMOKE;Emisor 869 rebutjat. Supera cobertura máxima
242-POYA.F;WHITE SMOKE;5.0 productes de 857 a 805
242-POYA.F;WHITE SMOKE;Emisor 857 rebutjat. Supera cobertura máxima
242-POYA.F;WHITE SMOKE;5.0 productes de 2020 a 805
242-POYA.F;WHITE SMOKE;Emisor 2020 rebutjat. Supera cobertura máxima
242-POYA.F;WHITE SMOKE;Receptor 805 sin posibilidad de enviarle stock
242-POYA.F;WHITE SMOKE;9.0 productes de 801 a 806
242-POYA.F;WHITE SMOKE;Emisor 801 rebutjat. Supera cobertura máxima
242-POYA.F;WHITE SMOKE;5.0 productes de 845 a 806
242-POYA.F;WHITE SMOKE;Emisor 845 rebutjat. Supera cobertura máxima
